rating,review
__label__5 ,super god service og vejledning i hvilken model der ville være god for mig. og fedt at man kan få dem på prøve før køb.
__label__5 ,dejligt at kan kan prøve produktet inden man køber
__label__5 ,jeg har haft købt contour unimouse wireless til mine kollegaerdesværre sker det engang imellem at når flyttes rundt på pladserneså mangler man nogle usb-dongles. jeg skrev til supporten og straks svarede de tilbage at de ville sende mig nogledet er den fantastiske servicesamt de gode og solide produkterder gør at vi fortsætter med at købe contourdet er dejligt at der stadig findes exceptionel kundeservice.
__label__5 ,super support. hurtigt og nemt
__label__3 ,jeg fik en fin mail og vejledning til rensning af rollermouse. men det løste desværre ikke mit problem.
__label__5 ,jeg har testet rollermouse red plus og det har hjulpet på min nakke smerter. levering til test i vores virksomhed gik problemfrit.
__label__5 ,havde problemer med at mit tastatur hver morgen skulle kobles fra og til for at virke sammen med min dock. fik tilsendt en opdatering så nu virker det upåklageligt
__label__5 ,super flot kundeservice!jeg havde fået stjålet min pc med dongle til keyboard. søgning efter en ny dongle visteat den var udsolgt alle vegne. skrev til kundeservice hos contour designhvor peter kjær hansen lynhurtigt svarede tilbageat de ville sende en ny til miguden beregning!!!det er nok den flotteste kundeservicejeg nogensinde har oplevetså 6 store stjerner herfra :-)
__label__1 ,jeg sendte en mail til contour designhar intet hørt fra demfik bare en mailhvor i der stodhar du været tilfreds med vores service og det jeg bestemt ikke været.
__label__5 ,super behageligt og ergonomisk korrekt.nemt at betjene. kan klart anbefales
__label__5 ,jeg havde mistet donglen til mit contour balance keyboard. efter en e-mail havde de sendt en ny en afsted til mig uden omkostning.
__label__5 ,jeg har haft en meget positiv og god dialog med contour design. de har hjulpet med en demo af deres udstyr. det virker upåklageligt. jeg køber gerne contour design’s produkter
__label__5 ,roller mouse red plus - serviceniveau helt i toppen ! kort efter vi har købt rollermouse red plusviste den slet ikke courser / pilen på skærmen. efter en mail til supporten blev vi kontaktet hurtig og efter bare en arbejdsdag og en meget professionelle mailkorrespondanceblev da konstateretat den er ikke til at redde. vi afslutte sagen fredag middag. allerede lørdag formiddag blev leveret en ny mus. service på topniveau ! søde regitze - tak for hjælpen -
__label__5 ,lækkert produkt. hurtig levering og nem bestilling. bekvemt med mulighed for gratis prøveperiodesom gjorde det sidste for migi forhold til at komme til at anvende rollermouse.
__label__5 ,super go servicejeg skrevde svarede og jeg fik ny knap til min musbare sååå fin service5 point herfrakenneth
__label__5 ,fin servicedejlige produkter
__label__5 ,jeg havde defekte knapper på en mousetrapper. fik lynhurtigt fremsendt nyt sæt knapper med god vejledning.knapper udskiftet og alt gik fint mousetrapper virker fint igen.
__label__5 ,rollermouser mobile rm red er et superlækkert produkt i højeste kvalitet. og en fin løsning for venstrehåndede. kan stærkt anbefales.
__label__5 ,god servicehurtig hjælpny rollermouse hurtigt tilsendt.
__label__5 ,kontaktede kundeservice da den ene knap på min rollermouse red ikke længere virkede korrekt. garantien var for længst udløbetmen jeg fik uden beregning tilsendt et sæt nye knappersom jeg kunne montere. efter udskiftningen virker knappen igen.hurtig og flink kundeservice med viden om deres produkter.
__label__5 ,god forståelse og lynhurtigt action på løsning af problem med dongle - jeg forventer at mit keyboard er oppe og køre igen imorgen 
__label__5 ,rigtig god oplevelse at handle hos contour design. jeg fik tilsendt det ønskede produkt to dage efter bestillingen og varen lever fuldt ud op til mine forventninger. kan klart anbefales
__label__5 ,spørgsmål til rollermouse free3mailet til demsvar retur i løbet af kort tid - næste dagmeget glad for at de svarer og vender retur hurtigtbruger dem helt sikkert igen
__label__1 ,jeg er ikke blevet kontaktet af kundesupportså må desværre kun give én stjerne. mit problem er dog blevet løstmellemtiden.
__label__5 ,hel unik og fantastisk service
__label__5 ,altid god servicenår der er fejl på produktet!
__label__5 ,positivt at man her har mulighed for at prøve produkterne gratis.det virker upåklageliget par dage efter jeg bestilte et prøve eksemplar af en af deres gode produkterblev den leveret. super gode produkter som jeg klart kan anbefale.
__label__5 ,hurtig reagerende support med gode anvisninger ... lever fuldt ud op til den gode produkt kvalitet :-)
__label__5 ,fantastisk kundeservice og vejledningjeg er overvældet og glad. tænk at der er personale og virksomhederder giver sig tid til at lytte og prøve alle kneb af uden at give op. tak regitze du er guld værd for contour design og jeres kunder 
__label__5 ,perfekt service i forbindelse med fejlbehæftet nyt produkt. hurtigt og professionelt løst.
__label__5 ,jeg fik svar inden for den samme dag vedr vedligehold af min contourmus.
__label__5 ,havde desværre smidt min usb receiver væk til min rollermouse free3 wirelessog kunne ikke finde den på lager nogen steder. jeg skrev så til contour om de kunne fortælle mig hvor den kunne købesmen de sendte den simpelhen direkte til migog dagen efter fik jeg denuden beregning. det er sjældent man oplever så god en service.
__label__5 ,jeg har anvendt rollermouse red plus de sidste fem-seks årbåde på jobbet og privat. på min ældstevar scrollhjulet stoppet med at fungereog jeg kontaktede contour design for at tjekke om de havde et fix der ikke var beskrevet i deres ellers meget grundige produktsupport.regitze tilbød at sende mig et nyt hjul uden beregningpå trods af at garantien i dén grad var overskredet...modtog det i dag sammen med et håndskrevet kort og chokolade :-)hjulet blev skiftet helt uden problemer og min rollermouse fungerer igen perfekt.det kan simpelthen ikke gøres bedre! takker mange gange!
__label__5 ,hurtig respons og fornemt at man kan prøve produktet før man køber det. især ved ergonomiske produkter betyder dette jo enormt meget... har prøvet en rollermouse red plus og var lidt skeptisk over prisensom jeg syntes var lige lovlig høj. men er positivt overrasket over kvaliteten og designetsom er meget gennemtænktlækkert og virker fremragende.
__label__5 ,meget god og hurtig service - yderst tilfreds kundesusanne
__label__5 ,det eneste produkt jeg kender fra contour design er unimousesom jeg har på prøve for tiden. den virker til at passer mig rigtig godt og det ender nu nok med at jeg køber den.jeg har talt med 2 forskellige personer hos firmaetbegge meget hjælpsomme og gode til at forklare detder skulle forklares.
__label__5 ,god og hurtig serviceda min rollermouse stod af
__label__5 ,intet at udsætte på service og responstid. havde en garanti reparation af en rollermouse. reservedele blev fremsendt dagen eftersammen med reparations manual.
__label__5 ,super kundeservice. som ifantastisk! jeg har længe været en fan af contour designs produktersom helt sikkert har sparet mig fra musearme osvmen da jeg mistede donglen fra tastaturetfandt jeg også ud afat de har en fremragende kundeservice. jeg fik simpelthen tilsendt en nyhelt gratissom jeg fik allerede næste dag. det var godt nok imponerende.
__label__5 ,tager kontakt tirsdag ifht. defekt knap på mit tastatur og torsdag morgen modtager et nyt tastatur med posten. virkelig hurtig og effektiv behandling af vores sag.
__label__5 ,havde problemer med min mus ved udpakning.i stedet for at jeg skulle guides via tlf. og måske ikke engang få løst problemetså sendte de bare et nyt som virker upåklageligt. er yderst tilfredsmed god og hurtig service.
__label__5 ,skulle have hjælp til at finde en usb receiver til min contour musdesværre er der ikke nogen steder der sælger demmen regitze fra contour hjalp hurtigt og professionelt med at finde en anden løsningdet er sjælden jeg får så god service.de har hermed sikret sig en kunde for livet.
__label__5 ,jeg fik under rengøring revet en knap af mit nyetrådløse tastatur. det blev prompte udskiftet med et nytsom jeg modtog inden for 24 timer. fantastisk service!
__label__5 ,fin service at kunne afprøve en rollermouse i 14 dage inden køb. thumbs up!
__label__5 ,hurtig svar angående prøve af produkt (tastatur)modtog tastaturet dagen efter :)
__label__5 ,kanon god service!min dongle til min unimouse var blevet beskadiget. jeg skrev til support og samme dag var der afsendt en ny dongle til mig.og iøvrigt kan deres unimouse stærkt anbefales. selv sidder jeg ved computeren mange timer om dagen. hvor en almindelig mus giver mig ømhed og spændinger i håndledetsikre unimouse det modsatteingen ømhed eller spændinger.god investeringhvis man sidder mange timer med musearbejde.
__label__5 ,havde et spørgsmål angående parring at 2 enheder på 1 dongleog sendte en mail. jeg fik hurtigt svar med et meget brugbart svarså der gik ikke længe inden jeg var videre.
__label__3 ,har købt musensom jeg sikkert bliver glad formen pt. virker den kun begrænset til os big sur. håber alvorligt på en update snarest.
__label__5 ,vildt god service i har. tak for det!
__label__5 ,fremragende service. intet at bemærke.
__label__5 ,hurtiginformativ og meget effektiv ekspedition af min reklamationsom var inden for garantien. jeg er yderst tilfreds.
__label__5 ,fremragende service!
__label__5 ,fantastisk god service. hurtig levering
__label__5 ,virkelig god oplevelse med både produkt og kundeservice!
__label__5 ,super service. hurtig levering. kan helt klar varmt anbefale dem.
__label__5 ,absolut verdensklasse...!!!!!! udfylder on-line et skemafor at prøve udstyr af gratis i 14 dage. dagen efter modtager vi udstyret. efter endt prøvefår man en retur label. så helt uden omkostninger for os. ej heller tvang eller opringninger for at de vil sælge udstyret.og må sige at deres produkter er i topog af bedste kvalitet.kan kun varmt anbefale contour design.
__label__5 ,fantastisk service! hurtig response og løsning
__label__5 ,super service!en stødpude var faldet af på min rollermouseog jeg skrev til contour direktehvorefter kundeservice uden beregning straks sender mig et sæt nye stødpuder til at klistre på. det er virkelig god servicetak for det :-)
__label__5 ,jeg fik den support jeg havde brug fortak
__label__5 ,fantastisk service og hurtig levering. kan absolut anbefales :-)
__label__5 ,nogle funktioner på mit keyboard holdt op med at fungere. efter kort og hurtigt dialog med kundeservice tilbød de at sende et nyt uden beregning. dejligt at man ikke først skal returnere det defekte.har i forvejen deres rollermouse som også klart kan anbefales!det er helt bestemt god kundeservice og god oplevelse.
__label__5 ,super god service. fik svar inden for 24 timer. oveni købet med det linkjeg havde brugfor
__label__5 ,hurtig levering allerede dagen efter bestillingog produkterne er helt igennem gennemtænkt
__label__5 ,pga. covid blev jeg sendt hjem for at arbejde og kom desvære til at ødelægge to taster på min tastaturpå vejen hjem. jeg skrev derfor til contour for at høreom jeg kunne købe reservedele. det var ikke muligtmen de tilbød mig et nyt tastatur kvit og frit. det er da virkelig service. fra jeg skrev til dem første gang og til jeg havde tasturet gik der tre dag. jeg er imponeret
__label__5 ,rigtig god hjælp til installation i forbindelse med brug af fjernskrivebord.
__label__5 ,hurtig responslet forståelig guidning
__label__5 ,havde en ctrl tast der var defekt. ringede til countour for at forhøre mig om reservedele. det kunne jeg ikke fåmen personen ville lige slå serienummeret opfor at tjekke garantien. det var der stadigså dagen efter lå der et spritnyt tastatur til mig. tak for det.
__label__5 ,fik hurtigt rollermouse og tastatur på prøvemen gr. corona kunne jeg ikke få adgang til detda jeg arbejdede hjemmefra. jeg skrevog fik straks forlænget prøvetiden. tak
__label__5 ,der var hurtigt svar tilbage - og svaret løste problemet :-)
__label__3 ,standard support. ikke muligt at ringe op (fik at vide at supporten midlertidig var lukket. det var den så i 2 dage). sende mailsfungerer fintog der kommer ok svar med løsningsmuligheder.
__label__5 ,hurtigt svar til mit problemsom har hjulpet mig at fixe problemet
__label__5 ,var et papøre og smide min dongle vækcontour design sendte en nyekvit og frit uden brok. det er godt nok kvalitetsservice.
